,created_at,id_str,conversation_id_str,full_text,lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media,emoji_list,emoticons_list,preprocessed_created_at,preprocessed_data
0,2021-05-23T23:45:59+00:00,1396613411123994631,1396595888865386497,@CMILANOTICIA #NoMasBloqueos #dejanospasar #AbastecimientoSeguro  lo que están haciendo los Bloqueadores se llama TERRORISMO https://t.co/rqIUZcNjsf,es,False,False,1,1,0,0,,,,1228993297,jamdiaztejada,james diaz,False,1.3965958888653865e+18,67654599.0,"#NoMasBloqueos , #dejanospasar , #AbastecimientoSeguro",CMILANOTICIA,,"[{""url"": ""https://pbs.twimg.com/media/E2HEfe7WEAIUg8T.jpg"", ""type"": ""photo""}]",[''],[':/'],2021-05-23,"['nomasbloqueo', 'dejanospasar', 'abastecimientoseguro', 'estar', 'hacer', 'bloqueador', 'llamar', 'terrorismo']"
1,2021-05-23T22:58:21+00:00,1396601422444118022,1396601422444118022,"Nadie puede opinar lo que NO le tocó vivir !! 
#28A 
#NoMasBloqueos 
#DejanosPasar 
@ONUHumanRights https://t.co/kEwulX50hY",es,False,False,0,1,0,0,,,,1166932904,monicali26,Mónica Gestiona,False,,,"#28A , #NoMasBloqueos , #DejanosPasar",ONUHumanRights,,"[{""url"": ""https://pbs.twimg.com/media/E2G5l2QWEAIYeX0.jpg"", ""type"": ""photo""}]",[''],[':/'],2021-05-23,"['nadie', 'poder', 'opinar', 'tocar', 'vivir', 'nomasbloqueo', 'dejanospasar']"
2,2021-05-23T22:56:52+00:00,1396601049302118403,1396601049302118403,"Nadie puede opinar lo que NO le tocó vivir !! 
#28A 
#NoMasBloqueos 
#DejanosPasar https://t.co/cmSD6HkYv0",es,False,False,0,0,0,0,,,,1166932904,monicali26,Mónica Gestiona,False,,,"#28A , #NoMasBloqueos , #DejanosPasar",,,"[{""url"": ""https://pbs.twimg.com/media/E2G5P5yX0AcBhEW.jpg"", ""type"": ""photo""}]",[''],[':/'],2021-05-23,"['nadie', 'poder', 'opinar', 'tocar', 'vivir', 'nomasbloqueo', 'dejanospasar']"
3,2021-05-23T21:27:07+00:00,1396578462001942528,1396578462001942528,"#NoMasBloqueos otro bebé, una nueva vida que se apaga, 😢😰 una cosa es protestar y otra muuuy distinta vulnerar el derecho a la vida de un nuevo ser, fortaleza a su familia @ONUHumanRights @ONUMujeresCol @TelemundoNews @bbcmundo @ONU_es 
#DejanosPasar @GobValle 
@CorteIDH https://t.co/ZVeSbHMPVV",es,False,False,1,0,0,0,,,,1166932904,monicali26,Mónica Gestiona,False,,,"#NoMasBloqueos , #DejanosPasar","ONUHumanRights , ONUMujeresCol , TelemundoNews , bbcmundo , ONU_es , GobValle , CorteIDH",,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1396578316799332357/pu/img/h4T0NiYvihIHIIIf.jpg"", ""type"": ""photo""}]",['😢😰'],[':/'],2021-05-23,"['nomasbloqueo', 'beber', 'nuevo', 'vida', 'apagar', 'cosa', 'protestar', 'muuy', 'distinto', 'vulnerar', 'derecho', 'vida', 'nuevo', 'ser', 'fortaleza', 'familia', 'dejanospasar']"
4,2021-05-23T21:27:02+00:00,1396578440829149189,1396578440829149189,"Pronavícola 🆘🔴
.
#DejanosPasar #colombia #unidossomosmasfuertes #avicultura #pollo #huevo #Alimentación #unidosporcolombia https://t.co/Rn8WlMe22G",es,False,False,2,1,0,0,,,,2426147671,PronavicolaSA,Pronavicola S.A.,False,,,"#DejanosPasar , #colombia , #unidossomosmasfuertes , #avicultura , #pollo , #huevo , #Alimentación , #unidosporcolombia",,,"[{""url"": ""https://pbs.twimg.com/media/E2GksA8WQAoFGoI.jpg"", ""type"": ""photo""}]",['🆘🔴'],[':/'],2021-05-23,"['pronavicola', 'dejanospasar', 'colombio', 'unidossomosmasfuertes', 'avicultura', 'pollo', 'huevo', 'alimentacion', 'unidosporcolombia']"
5,2021-05-23T19:24:05+00:00,1396547502841675780,1396547502841675780,"#NoMasBloqueos otro bebé, una nueva vida que se apaga, 😢😰 una cosa es protestar y otra muy distinta vulnerar el derecho a la vida de un nuevo ser, fortaleza a su familia @ONUHumanRights @ONUMujeresCol @TelemundoNews @bbcmundo @ONU_es 
#DejanosPasar",es,False,False,0,0,0,0,1.3965344281433375e+18,,,1166932904,monicali26,Mónica Gestiona,False,,,"#NoMasBloqueos , #DejanosPasar","ONUHumanRights , ONUMujeresCol , TelemundoNews , bbcmundo , ONU_es",,[],['😢😰'],[],2021-05-23,"['nomasbloqueo', 'beber', 'nuevo', 'vida', 'apagar', 'cosa', 'protestar', 'distinto', 'vulnerar', 'derecho', 'vida', 'nuevo', 'ser', 'fortaleza', 'familia', 'dejanospasar']"
6,2021-05-23T19:23:39+00:00,1396547392816754691,1396534428143337473,"@ChriGarces #NoMasBloqueos otro bebé, una nueva vida que se apaga, 😢😰 una cosa es protestar y otra muy distinta vulnerar el derecho a la vida de un nuevo ser, fortaleza a su familia @ONUHumanRights @ONUMujeresCol @TelemundoNews @bbcmundo @ONU_es 
#DejanosPasar",es,False,False,0,0,0,0,,,,1166932904,monicali26,Mónica Gestiona,False,1.3965344281433375e+18,1516609855.0,"#NoMasBloqueos , #DejanosPasar","ChriGarces , ONUHumanRights , ONUMujeresCol , TelemundoNews , bbcmundo , ONU_es",,[],['😢😰'],[],2021-05-23,"['nomasbloqueo', 'beber', 'nuevo', 'vida', 'apagar', 'cosa', 'protestar', 'distinto', 'vulnerar', 'derecho', 'vida', 'nuevo', 'ser', 'fortaleza', 'familia', 'dejanospasar']"
7,2021-05-23T17:23:50+00:00,1396517238421721096,1396508058386317316,@lcvelez @DefensoriaCol @lafm Eso es TERRORISMO y deben ser Judicializados!  #NoMasBloqueos #dejanospasar #AbastecimientoSeguro #QueremosTrabajar https://t.co/5y8vhwIpq7,es,False,False,0,0,1,0,,,,1228993297,jamdiaztejada,james diaz,False,1.3965080583863173e+18,27570569.0,"#NoMasBloqueos , #dejanospasar , #AbastecimientoSeguro , #QueremosTrabajar","lcvelez , DefensoriaCol , lafm",,"[{""url"": ""https://pbs.twimg.com/media/E2FtBgYX0AI0Vdd.jpg"", ""type"": ""photo""}]",[''],[':/'],2021-05-23,"['terrorismo', 'deber', 'ser', 'judicializar', 'nomasbloqueo', 'dejanospasar', 'abastecimientoseguro', 'queremostrabajar']"
8,2021-05-23T17:21:42+00:00,1396516702096084997,1396509555031519242,@ELTIEMPO Que caiga todo el peso de la ley sobre los autores de los bloqueos #NoMasBloqueos #dejanospasar https://t.co/EB36ZrejP0,es,False,False,0,3,1,0,,,,1228993297,jamdiaztejada,james diaz,False,1.3965095550315192e+18,9633802.0,"#NoMasBloqueos , #dejanospasar",ELTIEMPO,,"[{""url"": ""https://pbs.twimg.com/media/E2FsiV9XMAcDE4x.jpg"", ""type"": ""photo""}]",[''],[':/'],2021-05-23,"['caer', 'peso', 'ley', 'autor', 'bloqueo', 'nomasbloqueo', 'dejanospasar']"
9,2021-05-23T17:20:23+00:00,1396516372176412672,1396509452065513479,@Caracol_Cali Justicia para el bebe!  Que caida todo el peso de la ley. Sobre los autores del Bloqueo #NoMasBloqueos #dejanospasar https://t.co/6zJWO42Dpg,es,False,False,0,0,0,0,,,,1228993297,jamdiaztejada,james diaz,False,1.3965094520655135e+18,300815030.0,"#NoMasBloqueos , #dejanospasar",Caracol_Cali,,"[{""url"": ""https://pbs.twimg.com/media/E2FsO-EX0AMLE26.jpg"", ""type"": ""photo""}]",[''],[':/'],2021-05-23,"['justicia', 'beber', 'caida', 'peso', 'ley', 'autor', 'bloqueo', 'nomasbloqueo', 'dejanospasar']"
