created_at,id_str,conversation_id_str,full_text,lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media
2021-05-09T23:27:31+00:00,1391535333154729989,1391535333154729989,"@IvanDuque Eso es títeres tras títeres y su gobierno de muerte
#SOSColombiaNoDuerme 
#SOSColombiaNosEstanMatando 
#SOSColombiaDDHH #SOSColombiaEnDictadura
#SOSCaliDDHH 
#SOSColombiaResistencia",es,False,False,0,0,0,0,1.3907774400799498e+18,,,1363733972484784128,Humanistastik,Cristofer Asprilla,False,,77653794.0,"#SOSColombiaNoDuerme , #SOSColombiaNosEstanMatando , #SOSColombiaDDHH , #SOSColombiaEnDictadura , #SOSCaliDDHH , #SOSColombiaResistencia",IvanDuque,,[]
2021-05-09T23:17:13+00:00,1391532740319883264,1391532740319883264,"ESTAMOS HACIENDO HISTORIA @IvanDuque @AlvaroUribeVel genocidas del pueblo colombiano
#LAREVOLUCIONCOLOMBIANA 
#UribeParacoHpta #UribeDioLaOrden  #SOSColombiaDDHH #SOSColombiaNoDuerme #Colombia
#ParoIndefinido2021
#ParoNacionalColombia
#ColombiaEnDictadura",es,False,False,0,0,1,0,1.391487995782574e+18,,,114084227,americavalerosa,PRIMERA LÍNEA VIRTUAL COLOMBIA,False,,,"#LAREVOLUCIONCOLOMBIANA , #UribeParacoHpta , #UribeDioLaOrden , #SOSColombiaDDHH , #SOSColombiaNoDuerme , #Colombia , #ParoIndefinido2021 , #ParoNacionalColombia , #ColombiaEnDictadura","IvanDuque , AlvaroUribeVel",,[]
2021-05-09T23:13:51+00:00,1391531895004008448,1391531895004008448,"Si tienen armas para matar a la minga indígena, pero no para apoyar a los jóvenes que lucha en contra de un gobierno corrupto y lleno de falacias. #SOSCaliCensurado #SOSCALICOLOMBIA #SOSColombiaNoDuerme @dw_espanol @CNNEE @bbcmundo",es,False,False,0,0,0,0,1.391518532236718e+18,,,1390110585463975936,Colombia280421,Humberto Bermudez,False,,,"#SOSCaliCensurado , #SOSCALICOLOMBIA , #SOSColombiaNoDuerme","dw_espanol , CNNEE , bbcmundo",,[]
2021-05-09T23:13:47+00:00,1391531875085086721,1391516001645338634,@jackmasterxx @ELTIEMPO @IvanDuque @ONU_derechos @ONUHumanRights  era sarcasmo? #SOSColombiaNoDuerme #ColombiaSOS #ColombiaEnDictadura,es,False,False,0,1,0,0,,,,1309922626886918145,crismoar1,crismoar,False,1.3915173086240236e+18,1013298373.0,"#SOSColombiaNoDuerme , #ColombiaSOS , #ColombiaEnDictadura","jackmasterxx , ELTIEMPO , IvanDuque , ONU_derechos , ONUHumanRights",,[]
2021-05-09T23:01:09+00:00,1391528695454572544,1391528695454572544,"Colombia muy cerca a una dictadura según la ONU, bloqueo de internet violan los DDHH https://t.co/q1jdXLlm70 vía @pluralidadz 

#SOSColombiaDDDHH #ParoNacional8M #SOSCaliDDHH #SOSColombiaNosEstanMatando #SOSColombiaNoDuerme",es,False,False,0,0,0,0,,,,276156974,juan_ruizc,Juan Ruiz Celis,False,,,"#SOSColombiaDDDHH , #ParoNacional8M , #SOSCaliDDHH , #SOSColombiaNosEstanMatando , #SOSColombiaNoDuerme",PluralidadZ,https://t.co/q1jdXLlm70,[]
2021-05-09T23:00:18+00:00,1391528482769981441,1391528482769981441,"La gente de bien 
#SOSCALICOLOMBIA #NosEstanMantando #ElParoNOPara #MingaIndigena #EstadoAsesino #CaliSOS #Jamundi #SOSColombiaNoDuerme #ElMundoConColombia #PoliciaCriminal #PoliciasAsesinos https://t.co/1vHY8zFA1V",es,False,False,1,1,0,0,,,,924135469872549888,GEGOAR24,GEGOAR,False,,,"#SOSCALICOLOMBIA , #NosEstanMantando , #ElParoNOPara , #MingaIndigena , #EstadoAsesino , #CaliSOS , #Jamundi , #SOSColombiaNoDuerme , #ElMundoConColombia , #PoliciaCriminal , #PoliciasAsesinos",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1391528435160338432/pu/img/yt6yZ96WSfqP_4S5.jpg"", ""type"": ""photo""}]"
2021-05-09T22:59:18+00:00,1391528231367479306,1391528231367479306,#NosEstanMantando #NosEstanCensurando #NosEstanCuidando #NosEstanMasacrando #NosQuierenCallar #SOSCali #SOSColombiaNosEstanMatando #SOSColombiaDDHH #SOSColombiaNoDuerme @ONUHumanRights @HRI_ONG @HRF #SOSColombiaEnDictadura #ElMundoConColombia policias de civil atancandocon armas https://t.co/WghM6feGsg,es,False,False,0,0,0,0,,,,278359423,DJDANNOVER,DANNOVER,False,,,"#NosEstanMantando , #NosEstanCensurando , #NosEstanCuidando , #NosEstanMasacrando , #NosQuierenCallar , #SOSCali , #SOSColombiaNosEstanMatando , #SOSColombiaDDHH , #SOSColombiaNoDuerme , #SOSColombiaEnDictadura , #ElMundoConColombia","ONUHumanRights , HRI_ONG , HRF",,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1391528176682250242/pu/img/FsWETAV2GvpACeXm.jpg"", ""type"": ""photo""}]"
2021-05-09T22:55:13+00:00,1391527203201064963,1391527203201064963,"Un montón de civiles en Toyota, voliando bala por todo Calí, pero al presidente @IvanDuque le queda más fácil decirle a los indígenas, armados con palos y machetes, que se devuelvan pal monte #SOSCALICOLOMBIA #SOSColombiaNoDuerme #SOSColombiaNoDuerme #CaliEnPeligro",es,False,False,0,0,0,0,,,,486250527,k13_v,Kamilo Villamizar,False,,,"#SOSCALICOLOMBIA , #SOSColombiaNoDuerme , #SOSColombiaNoDuerme , #CaliEnPeligro",IvanDuque,,[]
2021-05-09T22:54:04+00:00,1391526912980406274,1391526912980406274,y Siguen cayendo policias infiltrados. #SOSColombiaNosEstanMatando #SOSCaliDDHH #SOSColombiaNoDuerme #SOSColombiaDDHH #ONU #ONUHumanRights @archivocolombia,es,False,False,0,0,0,0,1.3915236891125146e+18,,,4471936948,Anma48076518,COLOMBIA RESISTE,False,,,"#SOSColombiaNosEstanMatando , #SOSCaliDDHH , #SOSColombiaNoDuerme , #SOSColombiaDDHH , #ONU , #ONUHumanRights",archivocolombia,,[]
2021-05-09T22:53:39+00:00,1391526810366709764,1391515951783370753,@JorgeIvanOspina @IvanDuque @IvanDuque APARECE PUES SERVI PA ALGO ESTAS ASUSTADO O QUE #SOSCALICOLOMBIA #SOSCaliDDHH #SOSColombiaNoDuerme #CaliEnAlertaRoja #CaliEnPeligro #Cali,es,False,False,0,0,1,0,,,,106533440,tranquilokieto,Sebvstián,False,1.3915159517833708e+18,142820741.0,"#SOSCALICOLOMBIA , #SOSCaliDDHH , #SOSColombiaNoDuerme , #CaliEnAlertaRoja , #CaliEnPeligro , #Cali","JorgeIvanOspina , IvanDuque , IvanDuque",,[]
