created_at,id_str,conversation_id_str,full_text,lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media
2021-05-02T17:36:58+00:00,1388910400285167617,1388906479470661636,@jarizabaletaf @Dona_Pily2 @IvanDuque #ConmocionInteriorYA Dr. Jaime,en,False,False,1,1,0,0,,,,1388478572109643781,Joseph2a7881611,Joseph2a78816159,False,1.3889064794706616e+18,965331540.0,#ConmocionInteriorYA,"jarizabaletaf , Dona_Pily2 , IvanDuque",,[]
2021-05-02T08:47:50+00:00,1388777239588843522,1388777239588843522,"Namjoon my president
#ApoyoAMiFuerzaPublica #LaVozDeUribeSomosTodos 
#UribeSomosTodos
#UribeTieneLaRazon
#MilitarizarLasCallesYa 
#UribeTieneLaRazon 
#YoApoyoALaFuerzaPublica 
#YoApoyoAlEsmad 
#YoApoyoAMisHeroes 
#YoProtejoMiPais 
#ConmocionInteriorYA
#MilitarizacionYa",en,False,False,0,1,0,0,1.388736289105748e+18,,,1195495549342027776,Paola81443116,Paola,False,,,"#ApoyoAMiFuerzaPublica , #LaVozDeUribeSomosTodos , #UribeSomosTodos , #UribeTieneLaRazon , #MilitarizarLasCallesYa , #UribeTieneLaRazon , #YoApoyoALaFuerzaPublica , #YoApoyoAlEsmad , #YoApoyoAMisHeroes , #YoProtejoMiPais , #ConmocionInteriorYA , #MilitarizacionYa",,,[]
2021-05-02T08:47:26+00:00,1388777138741030912,1388777138741030912,"eren supremacy
#ApoyoAMiFuerzaPublica #LaVozDeUribeSomosTodos 
#UribeSomosTodos
#UribeTieneLaRazon
#MilitarizarLasCallesYa 
#UribeTieneLaRazon 
#YoApoyoALaFuerzaPublica 
#YoApoyoAlEsmad 
#YoApoyoAMisHeroes 
#YoProtejoMiPais 
#ConmocionInteriorYA
#MilitarizacionYa",en,False,False,0,1,0,0,1.3887474494188872e+18,,,1195495549342027776,Paola81443116,Paola,False,,,"#ApoyoAMiFuerzaPublica , #LaVozDeUribeSomosTodos , #UribeSomosTodos , #UribeTieneLaRazon , #MilitarizarLasCallesYa , #UribeTieneLaRazon , #YoApoyoALaFuerzaPublica , #YoApoyoAlEsmad , #YoApoyoAMisHeroes , #YoProtejoMiPais , #ConmocionInteriorYA , #MilitarizacionYa",,,[]
2021-05-02T06:09:19+00:00,1388737344908447745,1388737344908447745,"The amazing world of jungwoo 🎉
#ConmocionInteriorYA 
https://t.co/7PQtBUM5tk",en,False,False,0,5,0,0,1.3840403207158129e+18,,,714618936529182720,jugodemarcuya,jugodemaracuya🇨🇴,False,,,#ConmocionInteriorYA,,https://t.co/7PQtBUM5tk,[]
2021-05-02T06:07:31+00:00,1388736891760033794,1388736891760033794,"De paso stream a drunk dazed ✌️😎
#ConmocionInteriorYA 
https://t.co/cw0JHl5wSh",en,False,False,0,3,0,0,1.387804221005779e+18,,,714618936529182720,jugodemarcuya,jugodemaracuya🇨🇴,False,,,#ConmocionInteriorYA,,https://t.co/cw0JHl5wSh,[]
2021-05-02T05:55:40+00:00,1388733911933542401,1388733911933542401,"#ConmocionInteriorYA 
 yoongi again Love you https://t.co/eRNKkM3D41",en,False,False,1,17,0,0,,,,976164892062437376,Holy8Y93,윤기씨사랑해요 ⁷ 💗🏖️💗,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1131298394218160128/pu/img/KzrLj3ZgOH4Tlgfr.jpg"", ""type"": ""photo""}]"
2021-05-02T05:52:13+00:00,1388733041158336513,1388733041158336513,"Jungkook bailando my time 😭
#ConmocionInteriorYA 
https://t.co/tvznd6HWFh",en,False,False,2,6,0,0,1.3863546441720914e+18,,,714618936529182720,jugodemarcuya,jugodemaracuya🇨🇴,False,,,#ConmocionInteriorYA,,https://t.co/tvznd6HWFh,[]
2021-05-02T05:47:11+00:00,1388731775460036608,1388731775460036608,"Yass😍

#ConmocionInteriorYA https://t.co/sups3PwPIc",en,False,False,0,1,1,0,,,,1177793018188972032,ve5pula,Susana,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1388731659491717122/pu/img/Kd7mza6EEpF4TLfN.jpg"", ""type"": ""photo""}]"
2021-05-02T05:41:01+00:00,1388730226407051270,1388730226407051270,she is God #ConmocionInteriorYA https://t.co/W82mwyAbxh,en,False,False,0,4,0,0,,,,879413798926340097,lovoonlyy,di,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1388543784938467328/pu/img/S_MYurHonQcoH_Zs.jpg"", ""type"": ""photo""}]"
2021-05-02T05:40:32+00:00,1388730102268190722,1388730102268190722,she is good #ConmocionInteriorYA https://t.co/W82mwyAbxh,en,False,False,1,8,0,0,,,,879413798926340097,lovoonlyy,di,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1388543784938467328/pu/img/S_MYurHonQcoH_Zs.jpg"", ""type"": ""photo""}]"
