created_at,id_str,conversation_id_str,full_text,lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media
2021-05-09T23:59:54+00:00,1391543480619515910,1391543480619515910,"#ParoMataBebes 

Yo lloro porque no estuve cuando estaban en comeback de Easy. Soy llanto
Stan @Stray_Kids stan the art https://t.co/BX3m1anqH1",es,False,False,0,0,0,0,,,,1022137474573918208,vinnnie23,Vinnie,False,,,#ParoMataBebes,Stray_Kids,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1391543448650588160/pu/img/k26566QMWT8i9nTc.jpg"", ""type"": ""photo""}]"
2021-05-09T23:59:38+00:00,1391543413556846592,1391543413556846592,"¡Viva el paro, viva la minga y viva el kpop!
Y al que no le guste pues...
#Indios
#NarcoMinga 
#EsUnHonorSerPolicia 
#ElParoNoMeRepresenta 
#ElParoViolaDDHH
#ParoMataBebes 
#NoMasBloqueos https://t.co/jmvJleDNP9",es,False,False,1,1,0,0,,,,1122285573035765760,G_NanaCol,NanaCol,False,,,"#Indios , #NarcoMinga , #EsUnHonorSerPolicia , #ElParoNoMeRepresenta , #ElParoViolaDDHH , #ParoMataBebes , #NoMasBloqueos",,,"[{""url"": ""https://pbs.twimg.com/media/E0_BW8jWYAUqamF.jpg"", ""type"": ""photo""}]"
2021-05-09T23:59:00+00:00,1391543257830772741,1391543257830772741,"Tengan un poquito de dignidad y respeten a las personas más CULTAS y SABÍAS de este país enfermo. Ningún ""indios"" son indígenas y los están matando. RESPETEN

#Indios
#NarcoMinga 
#EsUnHonorSerPolicia 
#ElParoNoMeRepresenta 
#ElParoViolaDDHH
#ParoMataBebes https://t.co/tInTyXKDAa https://t.co/AV8A4sY1N0",es,False,False,2,1,0,0,,,,1389930486525571072,jhooooope_2,Chuchu🇨🇴,False,,,"#Indios , #NarcoMinga , #EsUnHonorSerPolicia , #ElParoNoMeRepresenta , #ElParoViolaDDHH , #ParoMataBebes",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1391543143661768705/pu/img/i0FEPpytgNyPnnzN.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1391541566259482634/pu/img/Fn13FeEUF1nvNDnD.jpg"", ""type"": ""photo""}]"
2021-05-09T23:58:59+00:00,1391543252357156865,1391543252357156865,JAJAJAJAJJAJAJAJAJA WTF CON ESTE #ParoMataBebes https://t.co/pEKduHhJvk,es,False,False,0,0,0,0,,,,1387861628822114308,Lemon17pj,🍋|| Lemon,False,,,#ParoMataBebes,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1391543193255260160/pu/img/FZbyJlCpe3JZWx3d.jpg"", ""type"": ""photo""}]"
2021-05-09T23:58:53+00:00,1391543226801299457,1391543226801299457,Jajajaja si soy :v #ParoMataBebes,es,False,False,0,1,0,0,1.3914602067234406e+18,,,94642758,_Aleja95_,Mª Alejandra Patiño,False,,,#ParoMataBebes,,,[]
2021-05-09T23:58:21+00:00,1391543091967021058,1391543091967021058,"Vamos minga!!! Fuerza, fuerza 

#narcominga
#UribeTieneLaRazon
#UribeSomosTodos
#UribeEnLaMarcha
#MingaCocalera
#MingaCocalera
#mingacoca
#ParoMataBebes
#MingaEsFarcYEln
#ElParoNoMeRepresenta
#ElParoViolaDDHH
#ElParoEsViolencia
#ParoArmado https://t.co/TtsVCP0xab",es,False,False,0,0,0,0,,,,1391094054931341314,Eternalsunbts,Eternal sunshine of BTS and ARMY,False,,,"#narcominga , #UribeTieneLaRazon , #UribeSomosTodos , #UribeEnLaMarcha , #MingaCocalera , #MingaCocalera , #mingacoca , #ParoMataBebes , #MingaEsFarcYEln , #ElParoNoMeRepresenta , #ElParoViolaDDHH , #ElParoEsViolencia , #ParoArmado",,,"[{""url"": ""https://pbs.twimg.com/media/E0_BEUAXMAYE7mg.jpg"", ""type"": ""photo""}]"
2021-05-09T23:58:11+00:00,1391543051663953921,1391543051663953921,"Hablando desde la mafioneta del privilegio:

#indios #CRICvsSINDICATOS #ApoyoAlEsmad #ColombiaEsMiVerdad #ElParoEsViolencia 
#ParoMataBebes 
#kpopers 

indios
K-pop of glory
K-poppers",es,False,False,0,0,0,0,1.3915380905824502e+18,,,1075612446562414594,Condorcol1,Condorcol,False,,,"#indios , #CRICvsSINDICATOS , #ApoyoAlEsmad , #ColombiaEsMiVerdad , #ElParoEsViolencia , #ParoMataBebes , #kpopers",,,[]
2021-05-09T23:58:08+00:00,1391543038456049666,1391543038456049666,"Qué? JJAJA
#NoMasBloqueos #ParoMataBebes

https://t.co/jcv01OnyZP",es,False,False,1,2,0,0,,,,2223912307,HoneyMyoney,Jenna 🌶️ 0701127,False,,,"#NoMasBloqueos , #ParoMataBebes",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1299993902980661248/pu/img/HS62YVrInNv7qjVt.jpg"", ""type"": ""photo""}]"
2021-05-09T23:57:26+00:00,1391542861338927106,1391542861338927106,"Guardia, guardia
Fuerza, fuerza 
#Indios
#NarcoMinga 
#EsUnHonorSerPolicia 
#ElParoNoMeRepresenta 
#ElParoViolaDDHH
#ParoMataBebes 
#NoMasBloqueos https://t.co/C3Gzo7k2W6",es,False,False,1,0,0,0,,,,1122285573035765760,G_NanaCol,NanaCol,False,,,"#Indios , #NarcoMinga , #EsUnHonorSerPolicia , #ElParoNoMeRepresenta , #ElParoViolaDDHH , #ParoMataBebes , #NoMasBloqueos",,,"[{""url"": ""https://pbs.twimg.com/media/E0_A2xaWYAIgGcN.jpg"", ""type"": ""photo""}]"
2021-05-09T23:57:24+00:00,1391542851218120706,1391542851218120706,"Oigan pero verdad no les queda nada de vergüenza a los Urbistas estos. Estas personas de hoy no son ciudadanos son NARCOS defendiendo su territorio. 

#Indios
#NarcoMinga 
#EsUnHonorSerPolicia 
#ElParoNoMeRepresenta 
#ElParoViolaDDHH
#ParoMataBebes https://t.co/tInTyXKDAa https://t.co/jqqoCGMXz1",es,False,False,0,0,0,0,,,,1389930486525571072,jhooooope_2,Chuchu🇨🇴,False,,,"#Indios , #NarcoMinga , #EsUnHonorSerPolicia , #ElParoNoMeRepresenta , #ElParoViolaDDHH , #ParoMataBebes",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1391542633802215428/pu/img/3TVKCk9Hsysi8Zhf.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1391541566259482634/pu/img/Fn13FeEUF1nvNDnD.jpg"", ""type"": ""photo""}]"
2021-05-09T23:56:34+00:00,1391542643407179776,1391542643407179776,"Dicen: fuera de aqui, saquenlos de la ciudad, nos los queremos, largo.
Como si la ciudad fuera de ellos, largo todos nosotros que somos los que nos interponemos en años de intentos de conservar la poca historia que nos queda #Indios #ParoMataBebes #NoMasBloqueos https://t.co/zKip3b7RaM",es,False,False,1,3,0,0,,,,908171914568454144,alexagarzon_17,Alexa garzón,False,,,"#Indios , #ParoMataBebes , #NoMasBloqueos",,,"[{""url"": ""https://pbs.twimg.com/tweet_video_thumb/E0_ApviWUAEnajp.jpg"", ""type"": ""photo""}]"
2021-05-09T23:55:58+00:00,1391542492311531520,1391542492311531520,"#NoMasBloqueos
#Indios 
#ParoMataBebes 
#NoMasParo 

Recordemos esta épica presentación!! 🔥

https://t.co/Ol0lk2879j",es,False,False,0,2,0,0,,,,774713425826091008,kogasmile,🐨 𝙴𝚍 | 🇨🇴,False,,,"#NoMasBloqueos , #Indios , #ParoMataBebes , #NoMasParo",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1203805871094013952/pu/img/Dzl_Kwm-cTnrDb7n.jpg"", ""type"": ""photo""}]"
